ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_30,736955,5946813.53,32,316,9
2019-02,Feeder_30,745900.5,5848131.42,47,642,13
2019-03,Feeder_30,741074.5,5898677.89,44,518,11
2019-04,Feeder_30,786021,6224673.23,39,341,8
2019-05,Feeder_30,798142,6484252.58,91,1231,13
2019-06,Feeder_30,798350,6791514.89,77,1172,15
