ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_40,163626,1131403.79,0,0,0
2019-02,Feeder_40,145540,1051194.12,0,0,0
2019-03,Feeder_40,135927,949335.35,0,0,0
2019-04,Feeder_40,237519,1536194.98,31,817,26
2019-05,Feeder_40,155266,1096483.49,44,843,19
2019-06,Feeder_40,162268,1294863.47,49,1633,33
