ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_93,607295,733979,3,29,9
2019-02,Feeder_93,587291,760419,5,134,26
2019-03,Feeder_93,566737,614037,0,0,0
2019-04,Feeder_93,662335,764731,2,69,34
2019-05,Feeder_93,664564,2061813,14,223,15
2019-06,Feeder_93,694264,862588.39,6,444,74
