ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_71,561622.1,5131010.67,2,170,85
2019-02,Feeder_71,522180,4813700.19,8,200,25
2019-03,Feeder_71,531947.5,4904547.66,5,570,114
2019-04,Feeder_71,546751.5,5024198.27,17,732,43
2019-05,Feeder_71,597016,5591421.21,17,544,32
2019-06,Feeder_71,586175.5,5797914.48,17,1443,84
