ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_1,624159,4985411.96,24,212,8
2019-02,Feeder_1,606149.5,4872530.7,36,633,17
2019-03,Feeder_1,637723.5,5203000.43,26,187,7
2019-04,Feeder_1,718271.5,5617795.97,17,287,16
2019-05,Feeder_1,705281.5,5566052.72,41,645,15
2019-06,Feeder_1,715699.5,6126206.23,23,1015,44
