ConsumptionDate,Feeder,TotalDemand,TotalRevenue,TotalOutageCuts,TotalOutageMinutes,TotalMinutesPerCut
2019-01,Feeder_27,681635,5450963.43,23,511,22
2019-02,Feeder_27,665990,5332823.35,28,1245,44
2019-03,Feeder_27,716055,5724743.69,27,488,18
2019-04,Feeder_27,790833,6369954.13,47,746,15
2019-05,Feeder_27,773292,6204705.47,36,1414,39
2019-06,Feeder_27,816346,7111071.34,38,1008,26
