Feeder,Demand,Revenue,ConsumptionDate
Feeder_75,858,5641,2019-01
Feeder_75,182,1246,2019-02
Feeder_75,164,1128,2019-03
Feeder_75,187,1334,2019-04
Feeder_75,225,1521,2019-05
Feeder_75,228,1772,2019-06
