Feeder,Demand,Revenue,ConsumptionDate
Feeder_22,1134437,10106848.78,2019-01
Feeder_22,1217247,10058506.22,2019-02
Feeder_22,1112323,9271267.09,2019-03
Feeder_22,1173501,9831722.07,2019-04
Feeder_22,1110919.13,9418012.71,2019-05
Feeder_22,1161520,10607667.32,2019-06
