Feeder,Demand,Revenue,ConsumptionDate
Feeder_71,561622.1,5131010.67,2019-01
Feeder_71,522180,4813700.19,2019-02
Feeder_71,531947.5,4904547.66,2019-03
Feeder_71,546751.5,5024198.27,2019-04
Feeder_71,597016,5591421.21,2019-05
Feeder_71,586175.5,5797914.48,2019-06
