Feeder,Demand,Revenue,ConsumptionDate
Feeder_93,607295,733979,2019-01
Feeder_93,587291,760419,2019-02
Feeder_93,566737,614037,2019-03
Feeder_93,662335,764731,2019-04
Feeder_93,664564,2061813,2019-05
Feeder_93,694264,862588.39,2019-06
