Feeder,Demand,Revenue,ConsumptionDate
Feeder_40,163626,1131403.79,2019-01
Feeder_40,145540,1051194.12,2019-02
Feeder_40,135927,949335.35,2019-03
Feeder_40,237519,1536194.98,2019-04
Feeder_40,155266,1096483.49,2019-05
Feeder_40,162268,1294863.47,2019-06
